video,vid_width,vid_height,total_detections,ocr_ran,ocr_ran_pct,passed,pass_rate_pct,pass_rate_of_ocr_pct,avg_car_height,median_car_height,avg_plate_width,median_plate_width,unique_tracks,n_passed,n_skipped_car_size,n_skipped_quality,n_skipped_not_better,n_skipped_cooldown,n_skipped_no_plate_cooldown,n_skipped_plate_size,n_ocr_no_plate,n_skipped_low_conf,n_skipped_chars,n_skipped_format,n_unconfirmed
test_4,1920,1080,131,9,6.9,5,3.8,55.6,79.8,30.0,87.0,87.0,4,5,118,0,0,0,4,0,3,0,0,0,1
test_5,1920,1080,100,16,16.0,6,6.0,37.5,199.4,143.0,97.5,97.5,2,6,62,0,5,0,17,0,9,0,0,0,1
